Model Number,Transformation,Proportion,K,Time Limit,Optimizer Distance,Model,WCSS,WCSS Raw,Silhouette,Silhouette Raw
122,normalized,0.75,3,180,manhattan,Optimal without Warm Start,109168.897,710175.576,0.675,0.656
123,normalized,0.75,3,180,manhattan,Optimal with Warm Start,49882.528,764024.192,0.512,0.274
124,normalized,0.75,3,180,euclidean,Base,8439.890,352840.600,0.511,0.273
125,normalized,0.75,3,180,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
126,normalized,0.75,3,180,euclidean,Optimal with Warm Start,8439.890,352840.600,0.511,0.273
127,normalized,0.75,4,30,manhattan,Base,38773.970,781295.049,0.438,0.166
128,normalized,0.75,4,30,manhattan,Optimal without Warm Start,191390.838,580170.499,0.241,0.230
129,normalized,0.75,4,30,manhattan,Optimal with Warm Start,38773.970,781295.049,0.438,0.166
130,normalized,0.75,4,30,euclidean,Base,6868.909,353225.966,0.438,0.166
131,normalized,0.75,4,30,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
132,normalized,0.75,4,30,euclidean,Optimal with Warm Start,6868.909,353225.966,0.438,0.166
133,normalized,0.75,4,90,manhattan,Base,38773.970,781295.049,0.438,0.166
134,normalized,0.75,4,90,manhattan,Optimal without Warm Start,191390.838,580170.499,0.241,0.230
135,normalized,0.75,4,90,manhattan,Optimal with Warm Start,38296.109,772945.812,0.438,0.167
136,normalized,0.75,4,90,euclidean,Base,6868.909,353225.966,0.438,0.166
137,normalized,0.75,4,90,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
138,normalized,0.75,4,90,euclidean,Optimal with Warm Start,6868.909,353225.966,0.438,0.166
139,normalized,0.75,4,180,manhattan,Base,38773.970,781295.049,0.438,0.166
140,normalized,0.75,4,180,manhattan,Optimal without Warm Start,190287.993,590777.771,0.164,0.161
141,normalized,0.75,4,180,manhattan,Optimal with Warm Start,38296.109,772945.812,0.438,0.167
142,normalized,0.75,4,180,euclidean,Base,6868.909,353225.966,0.438,0.166
143,normalized,0.75,4,180,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
144,normalized,0.75,4,180,euclidean,Optimal with Warm Start,6868.909,353225.966,0.438,0.166
145,normalized,0.75,5,30,manhattan,Base,35677.844,776186.230,0.445,0.213
146,normalized,0.75,5,30,manhattan,Optimal without Warm Start,191390.838,580170.499,0.185,0.172
147,normalized,0.75,5,30,manhattan,Optimal with Warm Start,35677.844,776186.230,0.445,0.213
148,normalized,0.75,5,30,euclidean,Base,6013.281,348809.733,0.445,0.213
149,normalized,0.75,5,30,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
150,normalized,0.75,5,30,euclidean,Optimal with Warm Start,6013.281,348809.733,0.445,0.213
151,normalized,0.75,5,90,manhattan,Base,35677.844,776186.230,0.445,0.213
152,normalized,0.75,5,90,manhattan,Optimal without Warm Start,190672.915,594026.718,0.186,0.173
153,normalized,0.75,5,90,manhattan,Optimal with Warm Start,35370.118,760121.042,0.446,0.214
154,normalized,0.75,5,90,euclidean,Base,6013.281,348809.733,0.445,0.213
155,normalized,0.75,5,90,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
156,normalized,0.75,5,90,euclidean,Optimal with Warm Start,6013.281,348809.733,0.445,0.213
157,normalized,0.75,5,180,manhattan,Base,35677.844,776186.230,0.445,0.213
158,normalized,0.75,5,180,manhattan,Optimal without Warm Start,189940.262,589413.028,0.027,0.021
159,normalized,0.75,5,180,manhattan,Optimal with Warm Start,35370.118,760121.042,0.446,0.214
160,normalized,0.75,5,180,euclidean,Base,6013.281,348809.733,0.445,0.213
161,normalized,0.75,5,180,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
162,normalized,0.75,5,180,euclidean,Optimal with Warm Start,6013.281,348809.733,0.445,0.213
163,scaled,0.10,3,30,manhattan,Base,243.903,66991.758,0.714,0.375
164,scaled,0.10,3,30,manhattan,Optimal without Warm Start,258.623,67617.689,0.705,0.427
165,scaled,0.10,3,30,manhattan,Optimal with Warm Start,231.993,67477.076,0.656,0.442
166,scaled,0.10,3,30,euclidean,Base,38.778,55465.574,0.714,0.375
167,scaled,0.10,3,30,euclidean,Optimal without Warm Start,102.304,55618.476,0.381,0.409
168,scaled,0.10,3,30,euclidean,Optimal with Warm Start,38.778,55465.574,0.714,0.375
169,scaled,0.10,3,90,manhattan,Base,243.903,66991.758,0.714,0.375
170,scaled,0.10,3,90,manhattan,Optimal without Warm Start,231.377,67571.857,0.669,0.456
171,scaled,0.10,3,90,manhattan,Optimal with Warm Start,231.993,67477.076,0.656,0.442
172,scaled,0.10,3,90,euclidean,Base,38.778,55465.574,0.714,0.375
173,scaled,0.10,3,90,euclidean,Optimal without Warm Start,102.304,55618.476,0.381,0.409
174,scaled,0.10,3,90,euclidean,Optimal with Warm Start,38.778,55465.574,0.714,0.375
175,scaled,0.10,3,180,manhattan,Base,243.903,66991.758,0.714,0.375
176,scaled,0.10,3,180,manhattan,Optimal without Warm Start,231.285,67574.179,0.665,0.451
177,scaled,0.10,3,180,manhattan,Optimal with Warm Start,230.078,67621.743,0.652,0.449
178,scaled,0.10,3,180,euclidean,Base,38.778,55465.574,0.714,0.375
179,scaled,0.10,3,180,euclidean,Optimal without Warm Start,90.422,55522.143,0.609,0.370
180,scaled,0.10,3,180,euclidean,Optimal with Warm Start,38.778,55465.574,0.714,0.375
181,scaled,0.10,4,30,manhattan,Base,153.780,66443.898,0.660,0.382
182,scaled,0.10,4,30,manhattan,Optimal without Warm Start,156.840,66825.472,0.581,0.177
183,scaled,0.10,4,30,manhattan,Optimal with Warm Start,161.289,66805.860,0.671,0.391
184,scaled,0.10,4,30,euclidean,Base,26.163,55372.086,0.660,0.382
185,scaled,0.10,4,30,euclidean,Optimal without Warm Start,140.497,55656.577,0.454,0.360
186,scaled,0.10,4,30,euclidean,Optimal with Warm Start,26.163,55372.086,0.660,0.382
187,scaled,0.10,4,90,manhattan,Base,153.780,66443.898,0.660,0.382
188,scaled,0.10,4,90,manhattan,Optimal without Warm Start,157.220,66828.481,0.581,0.177
189,scaled,0.10,4,90,manhattan,Optimal with Warm Start,161.289,66805.860,0.671,0.391
190,scaled,0.10,4,90,euclidean,Base,26.163,55372.086,0.660,0.382
191,scaled,0.10,4,90,euclidean,Optimal without Warm Start,140.497,55656.577,0.454,0.360
192,scaled,0.10,4,90,euclidean,Optimal with Warm Start,26.163,55372.086,0.660,0.382
193,scaled,0.10,4,180,manhattan,Base,153.780,66443.898,0.660,0.382
194,scaled,0.10,4,180,manhattan,Optimal without Warm Start,157.368,66824.108,0.580,0.178
195,scaled,0.10,4,180,manhattan,Optimal with Warm Start,161.289,66805.860,0.671,0.391
196,scaled,0.10,4,180,euclidean,Base,26.163,55372.086,0.660,0.382
197,scaled,0.10,4,180,euclidean,Optimal without Warm Start,90.170,55374.372,0.397,0.341
198,scaled,0.10,4,180,euclidean,Optimal with Warm Start,26.163,55372.086,0.660,0.382
199,scaled,0.10,5,30,manhattan,Base,111.486,66169.878,0.526,0.139
200,scaled,0.10,5,30,manhattan,Optimal without Warm Start,175.319,67044.806,0.560,0.303
201,scaled,0.10,5,30,manhattan,Optimal with Warm Start,117.835,66483.273,0.545,0.179
202,scaled,0.10,5,30,euclidean,Base,19.913,55333.216,0.526,0.139
203,scaled,0.10,5,30,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
204,scaled,0.10,5,30,euclidean,Optimal with Warm Start,19.913,55333.216,0.526,0.139
205,scaled,0.10,5,90,manhattan,Base,111.486,66169.878,0.526,0.139
206,scaled,0.10,5,90,manhattan,Optimal without Warm Start,121.780,66535.085,0.596,0.283
207,scaled,0.10,5,90,manhattan,Optimal with Warm Start,117.268,66420.991,0.547,0.174
208,scaled,0.10,5,90,euclidean,Base,19.913,55333.216,0.526,0.139
209,scaled,0.10,5,90,euclidean,Optimal without Warm Start,88.575,54801.506,0.531,0.232
210,scaled,0.10,5,90,euclidean,Optimal with Warm Start,19.913,55333.216,0.526,0.139
