DatasetName,proportion,k,time_limit,distance,case,WCSS,WCSS_RAW,Silhouette,Silhouette_RAW
normalized,0.25,5,30,euclidean,Optimal with Warm Start,55.50756125,14541.49012,0.463343879,0.432880231
normalized,0.25,5,90,manhattan,Base,291.2850315,31784.50983,0.417793536,0.362004074
normalized,0.25,5,90,manhattan,Optimal without Warm Start,250.4904052,32251.85682,0.474246709,0.450565714
normalized,0.25,5,90,manhattan,Optimal with Warm Start,250.4904052,32251.85682,0.474246709,0.450565714
normalized,0.25,5,90,euclidean,Base,60.675594,14356.45584,0.417793536,0.362004074
normalized,0.25,5,90,euclidean,Optimal without Warm Start,55.50756125,14541.49012,0.44655089,0.358909132
normalized,0.25,5,90,euclidean,Optimal with Warm Start,55.50756125,14541.49012,0.463343879,0.432880231
normalized,0.25,5,180,manhattan,Base,291.2850315,31784.50983,0.417793536,0.362004074
normalized,0.25,5,180,manhattan,Optimal without Warm Start,250.4904052,32251.85682,0.474246709,0.450565714
normalized,0.25,5,180,manhattan,Optimal with Warm Start,250.4904052,32251.85682,0.474246709,0.450565714
normalized,0.25,5,180,euclidean,Base,60.675594,14356.45584,0.417793536,0.362004074
normalized,0.25,5,180,euclidean,Optimal without Warm Start,55.50756125,14541.49012,0.44655089,0.358909132
normalized,0.25,5,180,euclidean,Optimal with Warm Start,55.50756125,14541.49012,0.463343879,0.432880231
normalized,0.75,3,30,manhattan,Base,1151.804164,106162.4914,0.57050667,0.340880492
normalized,0.75,3,30,manhattan,Optimal without Warm Start,1210.467717,105959.6589,0.603193225,0.397025082
normalized,0.75,3,30,manhattan,Optimal with Warm Start,1151.804164,106162.4914,0.654714618,0.471512952
normalized,0.75,3,30,euclidean,Base,241.3807921,46675.52144,0.57050667,0.340880492
normalized,0.75,3,30,euclidean,Optimal without Warm Start,241.3807921,46675.52144,0.603193225,0.397025082
normalized,0.75,3,30,euclidean,Optimal with Warm Start,241.3807921,46675.52144,0.654714618,0.471512952
normalized,0.75,3,90,manhattan,Base,1151.804164,106162.4914,0.57050667,0.340880492
normalized,0.75,3,90,manhattan,Optimal without Warm Start,1151.804164,106162.4914,0.603193225,0.397025082
