DatasetName,proportion,k,time_limit,distance,case,WCSS,WCSS_RAW,Silhouette,Silhouette_RAW
normalized,0.25,3,180,euclidean,Optimal without Warm Start,4719.6568981160335,133985.68800697138,0.3481730848553802,0.33628948274895176
normalized,0.25,3,180,euclidean,Optimal with Warm Start,3089.5204526773696,133929.44522235537,0.6921601806634615,0.6194567644637313
normalized,0.25,4,30,manhattan,Base,13424.429210600236,287673.6673360518,0.3959942695347482,0.15324238634797935
normalized,0.25,4,30,manhattan,Optimal without Warm Start,67822.38214967265,254269.65570177592,0.24766903387622888,0.23662467165114537
normalized,0.25,4,30,manhattan,Optimal with Warm Start,16286.28714166659,288067.8483570098,0.590463295891099,0.43702326296655863
normalized,0.25,4,30,euclidean,Base,2548.524113659086,134362.98595500365,0.3959942695347482,0.15324238634797935
normalized,0.25,4,30,euclidean,Optimal without Warm Start,7607.8930055364835,142422.84776662366,0.4389461123503843,0.3190309001407516
normalized,0.25,4,30,euclidean,Optimal with Warm Start,2738.777847399317,135110.39494831386,0.590463295891099,0.43702326296655863
normalized,0.25,4,90,manhattan,Base,13424.429210600236,287673.6673360518,0.3959942695347482,0.15324238634797935
normalized,0.25,4,90,manhattan,Optimal without Warm Start,67800.68715391879,254210.28779780839,0.24636192529895296,0.23590922179171747
normalized,0.25,4,90,manhattan,Optimal with Warm Start,16286.28714166659,288067.8483570098,0.590463295891099,0.43702326296655863
normalized,0.25,4,90,euclidean,Base,2548.524113659086,134362.98595500365,0.3959942695347482,0.15324238634797935
normalized,0.25,4,90,euclidean,Optimal without Warm Start,4990.20078247994,127136.29904815459,0.4177973661344547,0.31561261715467137
normalized,0.25,4,90,euclidean,Optimal with Warm Start,2738.777847399317,135110.39494831386,0.590463295891099,0.43702326296655863
normalized,0.25,4,180,manhattan,Base,13424.429210600236,287673.6673360518,0.3959942695347482,0.15324238634797935
normalized,0.25,4,180,manhattan,Optimal without Warm Start,54229.828493696514,249962.58024079117,0.966559928599331,0.9633566435594912
normalized,0.25,4,180,manhattan,Optimal with Warm Start,15901.669987505962,289752.49869554123,0.5254872199347009,0.3585766679070502
normalized,0.25,4,180,euclidean,Base,2548.524113659086,134362.98595500365,0.3959942695347482,0.15324238634797935
normalized,0.25,4,180,euclidean,Optimal without Warm Start,4990.20078247994,127136.29904815459,0.4177973661344547,0.31561261715467137
normalized,0.25,4,180,euclidean,Optimal with Warm Start,2738.777847399317,135110.39494831386,0.590463295891099,0.43702326296655863
normalized,0.25,5,30,manhattan,Base,12462.349119598754,286315.44746967574,0.34364821804611995,0.09038400560818285
normalized,0.25,5,30,manhattan,Optimal without Warm Start,76416.79030991653,203374.45459865578,0.16464864843013693,0.1477663238457747
normalized,0.25,5,30,manhattan,Optimal with Warm Start,12019.442603968804,289267.0363518732,0.5190438602310881,0.3033032297430321
normalized,0.25,5,30,euclidean,Base,2335.4159805034747,135162.91912056497,0.34364821804611995,0.09038400560818285
normalized,0.25,5,30,euclidean,Optimal without Warm Start,6162.289132326654,150169.63336862565,0.27471901472475097,0.20134542749745232
normalized,0.25,5,30,euclidean,Optimal with Warm Start,2156.27367192568,132929.66143814594,0.5190438602310881,0.3033032297430321
normalized,0.25,5,90,manhattan,Base,12462.349119598754,286315.44746967574,0.34364821804611995,0.09038400560818285
normalized,0.25,5,90,manhattan,Optimal without Warm Start,63697.592963424,268957.39611761936,-0.009778779899138135,-0.06940752132753536
normalized,0.25,5,90,manhattan,Optimal with Warm Start,12015.52663908833,289244.44359852606,0.5198329060944484,0.3062115511096152
normalized,0.25,5,90,euclidean,Base,2335.4159805034747,135162.91912056497,0.34364821804611995,0.09038400560818285
normalized,0.25,5,90,euclidean,Optimal without Warm Start,5115.8111400261,148080.33360413928,0.31576904182331317,0.18782237576090483
normalized,0.25,5,90,euclidean,Optimal with Warm Start,2156.27367192568,132929.66143814594,0.5190438602310881,0.3033032297430321
normalized,0.25,5,180,manhattan,Base,12462.349119598754,286315.44746967574,0.34364821804611995,0.09038400560818285
normalized,0.25,5,180,manhattan,Optimal without Warm Start,18353.981078605975,285845.92649889836,0.28904550982496896,0.18388661374810736
normalized,0.25,5,180,manhattan,Optimal with Warm Start,11774.624477818292,291195.0209677412,0.4889390267336877,0.2607247705015195
normalized,0.25,5,180,euclidean,Base,2335.4159805034747,135162.91912056497,0.34364821804611995,0.09038400560818285
normalized,0.25,5,180,euclidean,Optimal without Warm Start,5115.8111400261,148080.33360413928,0.31576904182331317,0.18782237576090483
normalized,0.25,5,180,euclidean,Optimal with Warm Start,2156.27367192568,132929.66143814594,0.5190438602310881,0.3033032297430321
normalized,0.75,3,30,manhattan,Base,50794.120035382046,804088.6538803251,0.6439549040549304,0.5298682520265282
normalized,0.75,3,30,manhattan,Optimal without Warm Start,215782.79911346897,732911.2081712695,0.30146655354211366,0.2992238993280036
normalized,0.75,3,30,manhattan,Optimal with Warm Start,50414.16080787931,777537.4610221351,0.611854213914156,0.4939133630661368
normalized,0.75,3,30,euclidean,Base,9096.694193006075,355488.50850882416,0.6439549040549304,0.5298682520265282
normalized,0.75,3,30,euclidean,Optimal without Warm Start,-15095.0,-15095.0,-15095.0,-15095.0
normalized,0.75,3,30,euclidean,Optimal with Warm Start,9091.854460698838,353106.07970863685,0.611854213914156,0.4939133630661368
normalized,0.75,3,90,manhattan,Base,50794.120035382046,804088.6538803251,0.6439549040549304,0.5298682520265282
normalized,0.75,3,90,manhattan,Optimal without Warm Start,182808.49332510593,711175.6607632628,0.6386715772331502,0.6147682571722285
normalized,0.75,3,90,manhattan,Optimal with Warm Start,50414.16080787931,777537.4610221351,0.611854213914156,0.4939133630661368
normalized,0.75,3,90,euclidean,Base,9096.694193006075,355488.50850882416,0.6439549040549304,0.5298682520265282
normalized,0.75,3,90,euclidean,Optimal without Warm Start,35422.2786477208,338271.57941670774,0.33745187403024235,0.35389816629759374
normalized,0.75,3,90,euclidean,Optimal with Warm Start,9091.854460698838,353106.07970863685,0.611854213914156,0.4939133630661368
normalized,0.75,3,180,manhattan,Base,50794.120035382046,804088.6538803251,0.6439549040549304,0.5298682520265282
normalized,0.75,3,180,manhattan,Optimal without Warm Start,182808.49332510593,711175.6607632628,0.6386715772331502,0.6147682571722285
normalized,0.75,3,180,manhattan,Optimal with Warm Start,50414.16080787931,777537.4610221351,0.611854213914156,0.4939133630661368
normalized,0.75,3,180,euclidean,Base,9096.694193006075,355488.50850882416,0.6439549040549304,0.5298682520265282
normalized,0.75,3,180,euclidean,Optimal without Warm Start,35091.091201076764,338202.0820492533,0.34058180451262393,0.35674708778819886
normalized,0.75,3,180,euclidean,Optimal with Warm Start,9091.854460698838,353106.07970863685,0.611854213914156,0.4939133630661368
normalized,0.75,4,30,manhattan,Base,39502.76296036805,786436.7389777492,0.4704882910924222,0.252529330918333
normalized,0.75,4,30,manhattan,Optimal without Warm Start,204468.07226907916,567089.7206637817,0.24175182526243533,0.2300301643111756
